Species,T(K),Cp_NIST,Cp_pyglenn,Cp_abs_err,Cp_rel_err(%),dH_NIST,dH_pyglenn,dH_abs_err,dH_rel_err(%),S_NIST,S_pyglenn,S_abs_err,S_rel_err(%)
CO,300.00,29.145012,29.142680,-0.002332,-0.0080,57.148703,46.446755,-10.701948,-18.7265,197.843179,197.838958,-0.004221,-0.0021
CO,350.00,29.152958,29.210656,0.057698,0.1979,1513.824988,1505.044071,-8.780917,-0.5800,202.334115,202.335700,0.001586,0.0008
CO,400.00,29.302705,29.341159,0.038454,0.1312,2974.776902,2968.562813,-6.214088,-0.2089,206.235550,206.244021,0.008471,0.0041
CO,450.00,29.535511,29.537485,0.001974,0.0067,4445.466052,4440.262112,-5.203939,-0.1171,209.699726,209.710618,0.010893,0.0052
CO,500.00,29.819490,29.793517,-0.025974,-0.0871,5929.174172,5923.309104,-5.865068,-0.0989,212.825948,212.835473,0.009526,0.0045
CO,550.00,30.135685,30.098093,-0.037592,-0.1247,7427.948442,7420.423974,-7.524468,-0.1013,215.682677,215.689049,0.006371,0.0030
CO,600.00,30.471890,30.437939,-0.033951,-0.1114,8943.074146,8933.706304,-9.367842,-0.1047,218.319129,218.322290,0.003161,0.0014
CO,650.00,30.819669,30.799564,-0.020106,-0.0652,10475.329180,10464.580256,-10.748924,-0.1026,220.771860,220.772802,0.000943,0.0004
CO,700.00,31.172796,31.170487,-0.002309,-0.0074,12025.129486,12013.816615,-11.312871,-0.0941,223.068749,223.068848,0.000099,0.0000
CO,750.00,31.526403,31.540055,0.013653,0.0433,13592.616313,13581.605065,-11.011248,-0.0810,225.231517,225.232026,0.000508,0.0002
CO,800.00,31.876488,31.899981,0.023493,0.0737,15177.710752,15167.659899,-10.050852,-0.0662,227.277389,227.279134,0.001745,0.0008
CO,850.00,32.219621,32.244723,0.025103,0.0779,16780.149027,16771.348434,-8.800593,-0.0524,229.220228,229.223488,0.003260,0.0014
CO,900.00,32.552754,32.571747,0.018992,0.0583,18399.506023,18391.835140,-7.670882,-0.0417,231.071335,231.075888,0.004553,0.0020
CO,950.00,32.873109,32.881708,0.008599,0.0262,20035.211376,20028.236878,-6.974498,-0.0348,232.840018,232.845327,0.005309,0.0023
CO,1000.00,33.178096,33.178593,0.000497,0.0015,21686.560750,21679.786090,-6.774660,-0.0312,234.534014,234.539529,0.005516,0.0024
CO,1050.00,33.465260,33.453519,-0.011741,-0.0351,23352.723876,23345.668425,-7.055451,-0.0302,236.159804,236.165048,0.005244,0.0022
CO,1100.00,33.732247,33.709763,-0.022484,-0.0667,25032.750413,25024.826464,-7.923950,-0.0317,237.722853,237.727291,0.004438,0.0019
CO,1150.00,33.976778,33.948277,-0.028501,-0.0839,26725.574270,26716.349120,-9.225150,-0.0345,239.227793,239.231075,0.003282,0.0014
CO,1200.00,34.196629,34.170143,-0.026486,-0.0775,28430.016851,28419.376642,-10.640209,-0.0374,240.678568,240.680646,0.002077,0.0009
CO,1250.00,34.389621,34.376491,-0.013130,-0.0382,30144.789523,30133.104812,-11.684711,-0.0388,242.078550,242.079773,0.001223,0.0005
CO,1300.00,34.553607,34.568443,0.014836,0.0429,31868.495513,31856.785850,-11.709663,-0.0367,243.430629,243.431829,0.001200,0.0005
CO,1350.00,34.762624,34.747084,-0.015540,-0.0447,33601.816100,33589.727294,-12.088806,-0.0360,244.740107,244.739843,-0.000265,-0.0001
CO,1400.00,34.929521,34.913449,-0.016073,-0.0460,35344.180302,35331.289709,-12.890594,-0.0365,246.007403,246.006555,-0.000848,-0.0003
CO,1450.00,35.082828,35.068505,-0.014323,-0.0408,37094.541904,37080.883728,-13.658176,-0.0368,247.235837,247.234450,-0.001387,-0.0006
